pdb	scenario	struct	model_flexref	fnat_flex	model_rigidbody	fnat_rigid	fnat_diff
7unzA	real	u	flexref_122.pdb	0.339	rigidbody_697.pdb	0.268	0.071
7unzA	real	u	flexref_121.pdb	0.375	rigidbody_60.pdb	0.304	0.071
7unzA	real	u	flexref_96.pdb	0.339	rigidbody_471.pdb	0.268	0.071
7unzA	real	u	flexref_7.pdb	0.500	rigidbody_588.pdb	0.357	0.143
7unzA	real	u	flexref_165.pdb	0.339	rigidbody_699.pdb	0.357	-0.018
7unzA	real	u	flexref_117.pdb	0.321	rigidbody_762.pdb	0.286	0.035
7unzA	real	u	flexref_135.pdb	0.357	rigidbody_49.pdb	0.268	0.089
7unzA	real	u	flexref_128.pdb	0.357	rigidbody_895.pdb	0.250	0.107
7unzA	real	u	flexref_153.pdb	0.429	rigidbody_95.pdb	0.339	0.090
7unzA	real	u	flexref_188.pdb	0.375	rigidbody_731.pdb	0.304	0.071
7unzA	real	u	flexref_72.pdb	0.304	rigidbody_935.pdb	0.286	0.018
7unzA	real	u	flexref_170.pdb	0.286	rigidbody_166.pdb	0.161	0.125
7unzA	real	u	flexref_86.pdb	0.304	rigidbody_574.pdb	0.286	0.018
7unzA	real	u	flexref_120.pdb	0.357	rigidbody_722.pdb	0.214	0.143
7unzA	real	u	flexref_186.pdb	0.357	rigidbody_37.pdb	0.321	0.036
7unzA	real	u	flexref_156.pdb	0.339	rigidbody_754.pdb	0.214	0.125
7unzA	real	u	flexref_116.pdb	0.268	rigidbody_25.pdb	0.214	0.054
7unzA	real	u	flexref_92.pdb	0.339	rigidbody_465.pdb	0.304	0.035
7unzA	real	u	flexref_169.pdb	0.393	rigidbody_77.pdb	0.250	0.143
7unzA	real	u	flexref_100.pdb	0.179	rigidbody_910.pdb	0.161	0.018
7unzA	real	u	flexref_181.pdb	0.339	rigidbody_31.pdb	0.321	0.018
7unzA	real	u	flexref_147.pdb	0.339	rigidbody_479.pdb	0.304	0.035
7unzA	real	u	flexref_161.pdb	0.375	rigidbody_20.pdb	0.250	0.125
7unzA	real	u	flexref_184.pdb	0.214	rigidbody_466.pdb	0.214	0.000
8bb7D	twohit	u	flexref_127.pdb	0.403	rigidbody_617.pdb	0.290	0.113
8bb7D	twohit	u	flexref_102.pdb	0.371	rigidbody_603.pdb	0.226	0.145
8bb7D	loose	u	flexref_170.pdb	0.500	rigidbody_848.pdb	0.371	0.129
8bb7D	twohit	b	flexref_174.pdb	0.661	rigidbody_999.pdb	0.532	0.129
8bb7D	twohit	b	flexref_138.pdb	0.468	rigidbody_251.pdb	0.290	0.178
8bb7D	twohit	b	flexref_1.pdb	0.290	rigidbody_740.pdb	0.210	0.080
8bb7D	twohit	b	flexref_66.pdb	0.290	rigidbody_619.pdb	0.226	0.064
8bb7D	mix-loose	u	flexref_145.pdb	0.403	rigidbody_886.pdb	0.339	0.064
8bb7D	mix-loose	u	flexref_117.pdb	0.435	rigidbody_840.pdb	0.339	0.096
8bb7D	mix-loose	u	flexref_168.pdb	0.532	rigidbody_992.pdb	0.387	0.145
8bb7D	mix-loose	u	flexref_36.pdb	0.226	rigidbody_568.pdb	0.145	0.081
8bb7D	mix-loose	u	flexref_97.pdb	0.210	rigidbody_680.pdb	0.161	0.049
8bb7D	mix-loose	u	flexref_85.pdb	0.145	rigidbody_672.pdb	0.145	0.000
8bb7D	mix-loose	u	flexref_74.pdb	0.210	rigidbody_502.pdb	0.145	0.065
8bb7D	mix-loose	u	flexref_172.pdb	0.242	rigidbody_234.pdb	0.194	0.048
8bb7D	mix-loose	u	flexref_114.pdb	0.452	rigidbody_656.pdb	0.274	0.178
8bb7D	mix-loose	b	flexref_34.pdb	0.645	rigidbody_923.pdb	0.548	0.097
8bb7D	mix-loose	b	flexref_167.pdb	0.694	rigidbody_792.pdb	0.500	0.194
8bb7D	mix-loose	b	flexref_6.pdb	0.726	rigidbody_796.pdb	0.500	0.226
8bb7D	mix-loose	b	flexref_11.pdb	0.710	rigidbody_974.pdb	0.516	0.194
8bb7D	mix-loose	b	flexref_181.pdb	0.484	rigidbody_831.pdb	0.371	0.113
8bb7D	mix-loose	b	flexref_13.pdb	0.645	rigidbody_824.pdb	0.532	0.113
8bb7D	mix-loose	b	flexref_26.pdb	0.661	rigidbody_912.pdb	0.532	0.129
8bb7D	mix-loose	b	flexref_198.pdb	0.355	rigidbody_320.pdb	0.274	0.081
8bb7D	mix-loose	b	flexref_200.pdb	0.339	rigidbody_412.pdb	0.274	0.065
8bb7D	mix-loose	b	flexref_134.pdb	0.419	rigidbody_864.pdb	0.371	0.048
8bb7D	mix-loose	b	flexref_2.pdb	0.258	rigidbody_725.pdb	0.210	0.048
8bb7D	mix-loose	b	flexref_83.pdb	0.339	rigidbody_603.pdb	0.258	0.081
8bb7D	mix-twohit	u	flexref_136.pdb	0.452	rigidbody_762.pdb	0.323	0.129
8bb7D	mix-twohit	u	flexref_141.pdb	0.387	rigidbody_824.pdb	0.355	0.032
8bb7D	mix-twohit	u	flexref_173.pdb	0.516	rigidbody_924.pdb	0.339	0.177
8bb7D	mix-twohit	u	flexref_92.pdb	0.403	rigidbody_617.pdb	0.290	0.113
8bb7D	mix-twohit	u	flexref_64.pdb	0.371	rigidbody_603.pdb	0.226	0.145
8bb7D	mix-twohit	u	flexref_68.pdb	0.129	rigidbody_560.pdb	0.145	-0.016
8bb7D	real	b	flexref_34.pdb	0.790	rigidbody_853.pdb	0.548	0.242
8bb7D	real	b	flexref_31.pdb	0.823	rigidbody_890.pdb	0.468	0.355
8bb7D	real	b	flexref_143.pdb	0.806	rigidbody_943.pdb	0.565	0.241
8bb7D	real	b	flexref_86.pdb	0.903	rigidbody_956.pdb	0.484	0.419
8bb7D	real	b	flexref_47.pdb	0.855	rigidbody_849.pdb	0.532	0.323
8bb7D	real	b	flexref_169.pdb	0.806	rigidbody_822.pdb	0.500	0.306
8bb7D	real	b	flexref_195.pdb	0.694	rigidbody_76.pdb	0.452	0.242
8bb7D	real	b	flexref_46.pdb	0.823	rigidbody_771.pdb	0.532	0.291
8bb7D	real	b	flexref_66.pdb	0.855	rigidbody_964.pdb	0.516	0.339
8bb7D	real	b	flexref_60.pdb	0.839	rigidbody_791.pdb	0.565	0.274
8bb7D	real	b	flexref_32.pdb	0.790	rigidbody_944.pdb	0.548	0.242
8bb7D	real	b	flexref_123.pdb	0.758	rigidbody_793.pdb	0.565	0.193
8bb7D	real	b	flexref_126.pdb	0.790	rigidbody_833.pdb	0.484	0.306
8bb7D	real	b	flexref_107.pdb	0.774	rigidbody_940.pdb	0.500	0.274
8bb7D	real	b	flexref_43.pdb	0.726	rigidbody_898.pdb	0.484	0.242
8bb7D	real	b	flexref_114.pdb	0.742	rigidbody_799.pdb	0.548	0.194
8bb7D	real	b	flexref_94.pdb	0.742	rigidbody_756.pdb	0.532	0.210
8bb7D	real	b	flexref_52.pdb	0.710	rigidbody_856.pdb	0.565	0.145
8bb7D	real	b	flexref_90.pdb	0.774	rigidbody_821.pdb	0.484	0.290
8bb7D	real	b	flexref_100.pdb	0.839	rigidbody_795.pdb	0.516	0.323
8bb7D	real	b	flexref_79.pdb	0.839	rigidbody_816.pdb	0.548	0.291
8bb7D	real	b	flexref_83.pdb	0.806	rigidbody_803.pdb	0.548	0.258
8bb7D	real	b	flexref_179.pdb	0.823	rigidbody_922.pdb	0.565	0.258
8bb7D	real	b	flexref_77.pdb	0.532	rigidbody_769.pdb	0.452	0.080
8bb7D	real	b	flexref_108.pdb	0.790	rigidbody_753.pdb	0.484	0.306
8bb7D	real	b	flexref_56.pdb	0.726	rigidbody_866.pdb	0.468	0.258
8bb7D	real	b	flexref_89.pdb	0.726	rigidbody_780.pdb	0.565	0.161
8bb7D	real	b	flexref_21.pdb	0.823	rigidbody_804.pdb	0.516	0.307
8bb7D	real	b	flexref_35.pdb	0.758	rigidbody_976.pdb	0.468	0.290
8bb7D	real	b	flexref_20.pdb	0.790	rigidbody_751.pdb	0.532	0.258
8bb7D	real	b	flexref_131.pdb	0.806	rigidbody_824.pdb	0.484	0.322
8bb7D	real	b	flexref_116.pdb	0.677	rigidbody_952.pdb	0.468	0.209
8bb7D	real	b	flexref_95.pdb	0.790	rigidbody_954.pdb	0.565	0.225
8bb7D	real	b	flexref_177.pdb	0.661	rigidbody_10.pdb	0.452	0.209
8bb7D	real	b	flexref_65.pdb	0.710	rigidbody_889.pdb	0.565	0.145
8bb7D	real	b	flexref_82.pdb	0.726	rigidbody_834.pdb	0.565	0.161
8bb7D	real	b	flexref_53.pdb	0.742	rigidbody_789.pdb	0.548	0.194
8bb7D	real	b	flexref_88.pdb	0.806	rigidbody_928.pdb	0.500	0.306
8bb7D	real	b	flexref_18.pdb	0.774	rigidbody_968.pdb	0.532	0.242
8bb7D	real	b	flexref_7.pdb	0.742	rigidbody_850.pdb	0.532	0.210
8bb7D	real	b	flexref_142.pdb	0.806	rigidbody_932.pdb	0.565	0.241
8bb7D	real	b	flexref_58.pdb	0.790	rigidbody_959.pdb	0.565	0.225
8bb7D	real	b	flexref_138.pdb	0.758	rigidbody_860.pdb	0.532	0.226
8bb7D	real	b	flexref_92.pdb	0.742	rigidbody_829.pdb	0.484	0.258
8bb7D	real	b	flexref_97.pdb	0.871	rigidbody_969.pdb	0.484	0.387
8bb7D	real	b	flexref_141.pdb	0.581	rigidbody_50.pdb	0.403	0.178
8bb7D	real	b	flexref_14.pdb	0.774	rigidbody_763.pdb	0.565	0.209
8bb7D	real	b	flexref_101.pdb	0.774	rigidbody_939.pdb	0.484	0.290
8bb7D	real	b	flexref_24.pdb	0.758	rigidbody_989.pdb	0.532	0.226
8bb7D	real	b	flexref_49.pdb	0.710	rigidbody_970.pdb	0.532	0.178
8bb7D	real	b	flexref_30.pdb	0.710	rigidbody_960.pdb	0.548	0.162
8bb7D	real	b	flexref_78.pdb	0.742	rigidbody_900.pdb	0.565	0.177
8bb7D	real	b	flexref_19.pdb	0.806	rigidbody_962.pdb	0.548	0.258
8bb7D	real	b	flexref_87.pdb	0.742	rigidbody_936.pdb	0.548	0.194
8bb7D	real	b	flexref_12.pdb	0.677	rigidbody_809.pdb	0.548	0.129
8bb7D	real	b	flexref_73.pdb	0.742	rigidbody_941.pdb	0.565	0.177
8bb7D	real	b	flexref_13.pdb	0.758	rigidbody_826.pdb	0.565	0.193
8bb7D	real	b	flexref_198.pdb	0.694	rigidbody_82.pdb	0.452	0.242
8bb7D	real	b	flexref_55.pdb	0.710	rigidbody_955.pdb	0.548	0.162
8bb7D	real	b	flexref_98.pdb	0.823	rigidbody_765.pdb	0.484	0.339
8bb7D	real	b	flexref_62.pdb	0.774	rigidbody_818.pdb	0.548	0.226
8bb7D	real	b	flexref_132.pdb	0.774	rigidbody_972.pdb	0.484	0.290
8bb7D	real	b	flexref_59.pdb	0.774	rigidbody_874.pdb	0.468	0.306
8bb7D	real	b	flexref_29.pdb	0.790	rigidbody_907.pdb	0.548	0.242
8bb7D	real	b	flexref_25.pdb	0.677	rigidbody_757.pdb	0.532	0.145
8bb7D	real	b	flexref_40.pdb	0.710	rigidbody_974.pdb	0.565	0.145
8bb7D	real	b	flexref_168.pdb	0.516	rigidbody_147.pdb	0.403	0.113
8bb7D	real	b	flexref_75.pdb	0.726	rigidbody_951.pdb	0.484	0.242
8bb7D	real	b	flexref_199.pdb	0.661	rigidbody_250.pdb	0.452	0.209
8bb7D	real	b	flexref_124.pdb	0.645	rigidbody_83.pdb	0.403	0.242
8bb7D	real	b	flexref_155.pdb	0.677	rigidbody_185.pdb	0.452	0.225
8bb7D	real	b	flexref_105.pdb	0.710	rigidbody_893.pdb	0.516	0.194
8bb7D	real	b	flexref_85.pdb	0.742	rigidbody_871.pdb	0.516	0.226
8bb7D	real	b	flexref_27.pdb	0.742	rigidbody_792.pdb	0.548	0.194
8bb7D	real	b	flexref_148.pdb	0.726	rigidbody_920.pdb	0.484	0.242
8bb7D	real	b	flexref_51.pdb	0.677	rigidbody_930.pdb	0.565	0.112
8bb7D	real	b	flexref_54.pdb	0.726	rigidbody_925.pdb	0.548	0.178
8bb7D	real	b	flexref_68.pdb	0.661	rigidbody_844.pdb	0.532	0.129
8bb7D	real	b	flexref_50.pdb	0.677	rigidbody_918.pdb	0.532	0.145
8bb7D	real	b	flexref_112.pdb	0.581	rigidbody_81.pdb	0.403	0.178
8bb7D	real	b	flexref_63.pdb	0.355	rigidbody_511.pdb	0.226	0.129
8bb7D	real	b	flexref_127.pdb	0.839	rigidbody_776.pdb	0.565	0.274
8bb7D	real	b	flexref_166.pdb	0.613	rigidbody_28.pdb	0.403	0.210
8bb7D	real	b	flexref_147.pdb	0.581	rigidbody_99.pdb	0.452	0.129
8bb7D	real	b	flexref_26.pdb	0.484	rigidbody_754.pdb	0.435	0.049
8bb7D	real	b	flexref_37.pdb	0.661	rigidbody_929.pdb	0.565	0.096
8bb7D	real	b	flexref_153.pdb	0.694	rigidbody_68.pdb	0.403	0.291
8bb7D	real	b	flexref_121.pdb	0.387	rigidbody_748.pdb	0.242	0.145
8bb7D	real	b	flexref_33.pdb	0.613	rigidbody_840.pdb	0.516	0.097
8bb7D	real	b	flexref_80.pdb	0.613	rigidbody_988.pdb	0.484	0.129
8bb7D	real	b	flexref_91.pdb	0.565	rigidbody_999.pdb	0.532	0.033
8bb7D	real	b	flexref_39.pdb	0.581	rigidbody_958.pdb	0.435	0.146
8bb7D	real	b	flexref_136.pdb	0.565	rigidbody_558.pdb	0.323	0.242
8bb7D	real	b	flexref_151.pdb	0.468	rigidbody_661.pdb	0.371	0.097
8bb7D	real	b	flexref_171.pdb	0.516	rigidbody_683.pdb	0.339	0.177
8bb7D	real	b	flexref_163.pdb	0.419	rigidbody_743.pdb	0.306	0.113
8bb7D	real	u	flexref_183.pdb	0.613	rigidbody_241.pdb	0.371	0.242
8bb7D	real	u	flexref_169.pdb	0.532	rigidbody_217.pdb	0.290	0.242
8bb7D	real	u	flexref_193.pdb	0.242	rigidbody_719.pdb	0.242	0.000
8bb7D	real	u	flexref_180.pdb	0.726	rigidbody_944.pdb	0.387	0.339
8bb7D	real	u	flexref_187.pdb	0.468	rigidbody_52.pdb	0.403	0.065
8bb7D	real	u	flexref_97.pdb	0.484	rigidbody_875.pdb	0.387	0.097
8bb7D	real	u	flexref_104.pdb	0.435	rigidbody_94.pdb	0.355	0.080
8bb7D	real	u	flexref_149.pdb	0.468	rigidbody_887.pdb	0.387	0.081
8bb7D	real	u	flexref_174.pdb	0.516	rigidbody_767.pdb	0.387	0.129
8bb7D	real	u	flexref_134.pdb	0.500	rigidbody_71.pdb	0.371	0.129
8bb7D	real	u	flexref_102.pdb	0.226	rigidbody_532.pdb	0.242	-0.016
8bb7D	real	u	flexref_186.pdb	0.597	rigidbody_869.pdb	0.419	0.178
8bb7D	real	u	flexref_145.pdb	0.597	rigidbody_193.pdb	0.403	0.194
8bb7D	real	u	flexref_123.pdb	0.500	rigidbody_84.pdb	0.419	0.081
8bb7D	real	u	flexref_176.pdb	0.500	rigidbody_809.pdb	0.435	0.065
8bb7D	real	u	flexref_121.pdb	0.452	rigidbody_360.pdb	0.323	0.129
8bb7D	real	u	flexref_129.pdb	0.274	rigidbody_632.pdb	0.242	0.032
8bb7D	real	u	flexref_172.pdb	0.468	rigidbody_115.pdb	0.290	0.178
8bb7D	real	u	flexref_178.pdb	0.677	rigidbody_950.pdb	0.403	0.274
8bb7D	real	u	flexref_150.pdb	0.290	rigidbody_652.pdb	0.258	0.032
8bb7D	real	u	flexref_198.pdb	0.613	rigidbody_894.pdb	0.387	0.226
8bb7D	real	u	flexref_86.pdb	0.226	rigidbody_615.pdb	0.226	0.000
8bb7D	real	u	flexref_115.pdb	0.500	rigidbody_610.pdb	0.274	0.226
8bb7D	real	u	flexref_177.pdb	0.306	rigidbody_551.pdb	0.226	0.080
8bb7D	real	u	flexref_143.pdb	0.242	rigidbody_653.pdb	0.242	0.000
8bb7D	real	u	flexref_93.pdb	0.242	rigidbody_725.pdb	0.242	0.000
8bb7D	real	u	flexref_166.pdb	0.226	rigidbody_728.pdb	0.242	-0.016
8bb7D	real	u	flexref_119.pdb	0.258	rigidbody_556.pdb	0.242	0.016
8bb7D	real	u	flexref_91.pdb	0.355	rigidbody_685.pdb	0.258	0.097
8bb7D	real	u	flexref_87.pdb	0.500	rigidbody_711.pdb	0.258	0.242
8bb7D	real	u	flexref_57.pdb	0.355	rigidbody_567.pdb	0.258	0.097
8bb7D	real	u	flexref_89.pdb	0.403	rigidbody_688.pdb	0.274	0.129
8bb7D	real	u	flexref_71.pdb	0.323	rigidbody_566.pdb	0.258	0.065
8bb7D	real	u	flexref_14.pdb	0.355	rigidbody_702.pdb	0.274	0.081
8bb7D	real	u	flexref_72.pdb	0.403	rigidbody_514.pdb	0.274	0.129
8bb7D	real	u	flexref_36.pdb	0.371	rigidbody_717.pdb	0.290	0.081
8bb7D	real	u	flexref_90.pdb	0.339	rigidbody_674.pdb	0.290	0.049
8bb7D	real	u	flexref_33.pdb	0.274	rigidbody_553.pdb	0.258	0.016
8bb7D	real	u	flexref_67.pdb	0.387	rigidbody_669.pdb	0.258	0.129
8bb7D	real	u	flexref_64.pdb	0.355	rigidbody_668.pdb	0.258	0.097
8bb7D	real	u	flexref_41.pdb	0.403	rigidbody_677.pdb	0.258	0.145
8bb7D	real	u	flexref_65.pdb	0.371	rigidbody_619.pdb	0.290	0.081
8bb7D	real	u	flexref_88.pdb	0.371	rigidbody_735.pdb	0.274	0.097
8bb7D	loose	b	flexref_57.pdb	0.645	rigidbody_923.pdb	0.548	0.097
8bb7D	loose	b	flexref_157.pdb	0.629	rigidbody_936.pdb	0.355	0.274
8bb7D	loose	b	flexref_145.pdb	0.484	rigidbody_890.pdb	0.371	0.113
8bb7D	loose	b	flexref_196.pdb	0.484	rigidbody_602.pdb	0.306	0.178
8bb7D	loose	b	flexref_1.pdb	0.258	rigidbody_725.pdb	0.210	0.048
8bb7D	loose	b	flexref_120.pdb	0.339	rigidbody_603.pdb	0.258	0.081
8bb7D	mix-twohit	b	flexref_89.pdb	0.435	rigidbody_252.pdb	0.323	0.112
8bb7D	mix-twohit	b	flexref_2.pdb	0.661	rigidbody_802.pdb	0.500	0.161
8bb7D	mix-twohit	b	flexref_163.pdb	0.661	rigidbody_999.pdb	0.532	0.129
8bb7D	mix-twohit	b	flexref_18.pdb	0.548	rigidbody_946.pdb	0.516	0.032
8bb7D	mix-twohit	b	flexref_164.pdb	0.306	rigidbody_436.pdb	0.258	0.048
8bb7D	mix-twohit	b	flexref_188.pdb	0.371	rigidbody_452.pdb	0.274	0.097
8bb7D	mix-twohit	b	flexref_6.pdb	0.613	rigidbody_820.pdb	0.516	0.097
8bb7D	mix-twohit	b	flexref_160.pdb	0.355	rigidbody_338.pdb	0.306	0.049
8bb7D	mix-twohit	b	flexref_56.pdb	0.468	rigidbody_924.pdb	0.387	0.081
8bb7D	mix-twohit	b	flexref_180.pdb	0.371	rigidbody_468.pdb	0.274	0.097
8bb7D	mix-twohit	b	flexref_16.pdb	0.532	rigidbody_762.pdb	0.419	0.113
8bb7D	mix-twohit	b	flexref_120.pdb	0.468	rigidbody_251.pdb	0.290	0.178
8bb7D	mix-twohit	b	flexref_8.pdb	0.339	rigidbody_986.pdb	0.516	-0.177
8bb7D	mix-twohit	b	flexref_168.pdb	0.500	rigidbody_406.pdb	0.306	0.194
8bb7D	mix-twohit	b	flexref_173.pdb	0.387	rigidbody_492.pdb	0.306	0.081
8bb7D	mix-twohit	b	flexref_182.pdb	0.371	rigidbody_270.pdb	0.306	0.065
8bb7D	mix-twohit	b	flexref_59.pdb	0.290	rigidbody_619.pdb	0.226	0.064
8h3yE	twohit	b	flexref_59.pdb	0.800	rigidbody_656.pdb	0.660	0.140
8h3yE	twohit	b	flexref_198.pdb	0.740	rigidbody_504.pdb	0.620	0.120
8h3yE	twohit	b	flexref_40.pdb	0.860	rigidbody_445.pdb	0.680	0.180
8h3yE	twohit	b	flexref_98.pdb	0.800	rigidbody_449.pdb	0.680	0.120
8h3yE	twohit	b	flexref_53.pdb	0.560	rigidbody_790.pdb	0.440	0.120
8h3yE	twohit	b	flexref_66.pdb	0.800	rigidbody_437.pdb	0.660	0.140
8h3yE	twohit	b	flexref_11.pdb	0.520	rigidbody_795.pdb	0.400	0.120
8h3yE	twohit	b	flexref_91.pdb	0.840	rigidbody_500.pdb	0.680	0.160
8h3yE	twohit	b	flexref_9.pdb	0.560	rigidbody_670.pdb	0.440	0.120
8h3yE	twohit	b	flexref_172.pdb	0.660	rigidbody_774.pdb	0.440	0.220
8h3yE	twohit	b	flexref_102.pdb	0.740	rigidbody_382.pdb	0.620	0.120
8h3yE	twohit	b	flexref_30.pdb	0.560	rigidbody_831.pdb	0.420	0.140
8h3yE	twohit	b	flexref_14.pdb	0.440	rigidbody_966.pdb	0.420	0.020
8h3yE	twohit	b	flexref_47.pdb	0.520	rigidbody_747.pdb	0.400	0.120
8h3yE	twohit	b	flexref_37.pdb	0.360	rigidbody_722.pdb	0.380	-0.020
8h3yE	twohit	b	flexref_151.pdb	0.800	rigidbody_481.pdb	0.660	0.140
8h3yE	twohit	b	flexref_94.pdb	0.560	rigidbody_861.pdb	0.440	0.120
8h3yE	twohit	b	flexref_49.pdb	0.560	rigidbody_813.pdb	0.400	0.160
8h3yE	twohit	b	flexref_36.pdb	0.540	rigidbody_800.pdb	0.420	0.120
8h3yE	twohit	b	flexref_148.pdb	0.560	rigidbody_514.pdb	0.580	-0.020
8h3yE	twohit	b	flexref_192.pdb	0.500	rigidbody_589.pdb	0.580	-0.080
8h3yE	twohit	b	flexref_96.pdb	0.660	rigidbody_592.pdb	0.580	0.080
8h3yE	twohit	b	flexref_41.pdb	0.460	rigidbody_880.pdb	0.420	0.040
8h3yE	twohit	b	flexref_60.pdb	0.340	rigidbody_682.pdb	0.440	-0.100
8h3yE	twohit	b	flexref_68.pdb	0.560	rigidbody_776.pdb	0.440	0.120
8h3yE	twohit	b	flexref_74.pdb	0.680	rigidbody_607.pdb	0.640	0.040
8h3yE	twohit	b	flexref_125.pdb	0.740	rigidbody_372.pdb	0.540	0.200
8h3yE	twohit	b	flexref_180.pdb	0.520	rigidbody_533.pdb	0.540	-0.020
8h3yE	twohit	b	flexref_16.pdb	0.440	rigidbody_732.pdb	0.400	0.040
8h3yE	twohit	b	flexref_28.pdb	0.520	rigidbody_852.pdb	0.420	0.100
8h3yE	twohit	b	flexref_20.pdb	0.580	rigidbody_903.pdb	0.420	0.160
8h3yE	twohit	b	flexref_57.pdb	0.500	rigidbody_947.pdb	0.400	0.100
8h3yE	twohit	b	flexref_45.pdb	0.320	rigidbody_932.pdb	0.440	-0.120
8h3yE	twohit	b	flexref_129.pdb	0.460	rigidbody_584.pdb	0.540	-0.080
8h3yE	twohit	b	flexref_100.pdb	0.460	rigidbody_909.pdb	0.400	0.060
8h3yE	twohit	b	flexref_12.pdb	0.560	rigidbody_810.pdb	0.440	0.120
8h3yE	twohit	b	flexref_83.pdb	0.520	rigidbody_782.pdb	0.380	0.140
8h3yE	twohit	b	flexref_22.pdb	0.380	rigidbody_780.pdb	0.440	-0.060
8h3yE	twohit	b	flexref_64.pdb	0.460	rigidbody_963.pdb	0.400	0.060
8h3yE	twohit	b	flexref_171.pdb	0.400	rigidbody_543.pdb	0.340	0.060
8h3yE	twohit	b	flexref_10.pdb	0.420	rigidbody_416.pdb	0.380	0.040
8h3yE	twohit	b	flexref_39.pdb	0.480	rigidbody_739.pdb	0.420	0.060
8h3yE	twohit	b	flexref_33.pdb	0.360	rigidbody_984.pdb	0.420	-0.060
8h3yE	twohit	b	flexref_81.pdb	0.520	rigidbody_733.pdb	0.440	0.080
8h3yE	twohit	b	flexref_17.pdb	0.200	rigidbody_870.pdb	0.360	-0.160
8h3yE	twohit	b	flexref_32.pdb	0.380	rigidbody_954.pdb	0.420	-0.040
8h3yE	twohit	b	flexref_149.pdb	0.380	rigidbody_440.pdb	0.200	0.180
8h3yE	twohit	b	flexref_111.pdb	0.120	rigidbody_817.pdb	0.120	0.000
8h3yE	twohit	b	flexref_26.pdb	0.240	rigidbody_930.pdb	0.400	-0.160
8h3yE	twohit	b	flexref_51.pdb	0.300	rigidbody_807.pdb	0.200	0.100
8h3yE	twohit	b	flexref_128.pdb	0.160	rigidbody_685.pdb	0.240	-0.080
8h3yE	twohit	b	flexref_88.pdb	0.240	rigidbody_743.pdb	0.420	-0.180
8h3yE	twohit	b	flexref_99.pdb	0.280	rigidbody_775.pdb	0.300	-0.020
8h3yE	twohit	u	flexref_159.pdb	0.860	rigidbody_447.pdb	0.740	0.120
8h3yE	twohit	u	flexref_16.pdb	0.840	rigidbody_376.pdb	0.740	0.100
8h3yE	twohit	u	flexref_32.pdb	0.780	rigidbody_467.pdb	0.740	0.040
8h3yE	twohit	u	flexref_73.pdb	0.840	rigidbody_485.pdb	0.760	0.080
8h3yE	twohit	u	flexref_38.pdb	0.880	rigidbody_589.pdb	0.760	0.120
8h3yE	twohit	u	flexref_147.pdb	0.840	rigidbody_377.pdb	0.760	0.080
8h3yE	twohit	u	flexref_145.pdb	0.840	rigidbody_549.pdb	0.760	0.080
8h3yE	twohit	u	flexref_63.pdb	0.780	rigidbody_645.pdb	0.760	0.020
8h3yE	twohit	u	flexref_12.pdb	0.760	rigidbody_378.pdb	0.740	0.020
8h3yE	twohit	u	flexref_46.pdb	0.840	rigidbody_642.pdb	0.760	0.080
8h3yE	twohit	u	flexref_30.pdb	0.780	rigidbody_469.pdb	0.740	0.040
8h3yE	twohit	u	flexref_137.pdb	0.840	rigidbody_353.pdb	0.740	0.100
8h3yE	twohit	u	flexref_41.pdb	0.840	rigidbody_507.pdb	0.740	0.100
8h3yE	twohit	u	flexref_109.pdb	0.800	rigidbody_395.pdb	0.760	0.040
8h3yE	twohit	u	flexref_6.pdb	0.800	rigidbody_402.pdb	0.740	0.060
8h3yE	twohit	u	flexref_82.pdb	0.820	rigidbody_574.pdb	0.740	0.080
8h3yE	twohit	u	flexref_129.pdb	0.860	rigidbody_461.pdb	0.760	0.100
8h3yE	twohit	u	flexref_122.pdb	0.860	rigidbody_466.pdb	0.740	0.120
8h3yE	twohit	u	flexref_105.pdb	0.860	rigidbody_620.pdb	0.740	0.120
8h3yE	twohit	u	flexref_11.pdb	0.720	rigidbody_465.pdb	0.720	0.000
8h3yE	twohit	u	flexref_157.pdb	0.740	rigidbody_394.pdb	0.760	-0.020
8h3yE	twohit	u	flexref_120.pdb	0.860	rigidbody_628.pdb	0.760	0.100
8h3yE	twohit	u	flexref_51.pdb	0.860	rigidbody_400.pdb	0.760	0.100
8h3yE	twohit	u	flexref_45.pdb	0.800	rigidbody_347.pdb	0.740	0.060
8h3yE	twohit	u	flexref_62.pdb	0.860	rigidbody_500.pdb	0.740	0.120
8h3yE	twohit	u	flexref_17.pdb	0.800	rigidbody_407.pdb	0.740	0.060
8h3yE	twohit	u	flexref_124.pdb	0.860	rigidbody_508.pdb	0.740	0.120
8h3yE	twohit	u	flexref_60.pdb	0.820	rigidbody_521.pdb	0.740	0.080
8h3yE	twohit	u	flexref_55.pdb	0.800	rigidbody_384.pdb	0.740	0.060
8h3yE	twohit	u	flexref_135.pdb	0.860	rigidbody_544.pdb	0.760	0.100
8h3yE	twohit	u	flexref_23.pdb	0.820	rigidbody_514.pdb	0.760	0.060
8h3yE	twohit	u	flexref_37.pdb	0.840	rigidbody_543.pdb	0.740	0.100
8h3yE	twohit	u	flexref_22.pdb	0.800	rigidbody_546.pdb	0.720	0.080
8h3yE	twohit	u	flexref_168.pdb	0.880	rigidbody_348.pdb	0.760	0.120
8h3yE	twohit	u	flexref_58.pdb	0.840	rigidbody_490.pdb	0.720	0.120
